locusId	scaffoldId	begin	end	strand	original_name	gene_type	rbtnseq_ref_locusId	product	sysName	name	desc	ecocyc_id
BW25113_2222	CP009273.1	2317588	2318238	+	atoA	CDS	16330	acetyl-CoA:acetoacetyl-CoA transferase%2C beta subunit	b2222	atoA	acetyl-CoA:acetoacetyl-CoA transferase, beta subunit (NCBI)	EG11670
BW25113_2223	CP009273.1	2318235	2319557	+	atoE	CDS	16331	short chain fatty acid transporter	b2223	atoE	short chain fatty acid transporter (NCBI)	EG11671
BW25113_2224	CP009273.1	2319588	2320772	+	atoB	CDS	16332	acetyl-CoA acetyltransferase	b2224	atoB	acetyl-CoA acetyltransferase (NCBI)	EG11672
BW25113_2225	CP009273.1	2320846	2321622	-	yfaP	CDS	16333	DUF2135 family protein%2C putative host defense protein	b2225	yfaP	hypothetical protein (NCBI)	G7152
BW25113_2226	CP009273.1	2321627	2323276	-	yfaQ	CDS	16334	tandem DUF2300 domain protein%2C putative host defense protein	b2226	yfaQ	hypothetical protein (NCBI)	G7153
BW25113_4500	CP009273.1	2323277	2327881	-	yfaS	CDS				yfaS		
BW25113_2229	CP009273.1	2327815	2328438	-	yfaT	CDS	16336	DUF1175 family protein%2C putative host defense protein	b2229	yfaT	orf, hypothetical protein (VIMSS)	G7156
BW25113_2230	CP009273.1	2328435	2330123	-	yfaA	CDS	16337	DUF2138 family protein%2C putative host defense protein	b2230	yfaA	orf, hypothetical protein (VIMSS)	EG11142
BW25113_2231	CP009273.1	2330272	2332899	-	gyrA	CDS	16338	DNA gyrase (type II topoisomerase)%2C subunit A	b2231	gyrA	DNA gyrase subunit A (NCBI)	EG10423
BW25113_2232	CP009273.1	2333046	2333768	+	ubiG	CDS	16339	bifunctional 3-demethylubiquinone-9 3-methyltransferase/ 2-octaprenyl-6-hydroxy phenol methylase	b2232	ubiG	3-demethylubiquinone-9 3-methyltransferase (NCBI)	EG11143
BW25113_2233	CP009273.1	2333896	2337648	-	yfaL	CDS	16340	adhesin	b2233	yfaL	adhesin (NCBI)	EG12850
BW25113_2234	CP009273.1	2338344	2340629	+	nrdA	CDS	16341	ribonucleoside-diphosphate reductase 1%2C alpha subunit	b2234	nrdA	ribonucleotide-diphosphate reductase alpha subunit (NCBI)	EG10660
BW25113_2235	CP009273.1	2340863	2341993	+	nrdB	CDS	16342	ribonucleoside-diphosphate reductase 1%2C beta subunit%2C ferritin-like protein	b2235	nrdB	ribonucleotide-diphosphate reductase beta subunit (NCBI)	EG10661
BW25113_2236	CP009273.1	2341993	2342247	+	yfaE	CDS	16343	ferredoxin involved with ribonucleotide reductase diferric-tyrosyl radical (Y*) cofactor maintenance	b2236	yfaE	predicted 2Fe-2S cluster-containing protein (NCBI)	EG12360
BW25113_2237	CP009273.1	2342301	2342951	-	inaA	CDS	16344	acid-inducible Kdo/WaaP family putative kinase	b2237	inaA	hypothetical protein (NCBI)	EG11422
BW25113_2238	CP009273.1	2343130	2343372	+	yfaH	CDS				yfaH		
BW25113_2239	CP009273.1	2343414	2344490	-	glpQ	CDS	16346	periplasmic glycerophosphodiester phosphodiesterase	b2239	glpQ	periplasmic glycerophosphodiester phosphodiesterase (NCBI)	EG10399
BW25113_2240	CP009273.1	2344495	2345853	-	glpT	CDS	16347	sn-glycerol-3-phosphate transporter	b2240	glpT	sn-glycerol-3-phosphate transporter (NCBI)	EG10401
BW25113_2241	CP009273.1	2346126	2347754	+	glpA	CDS	16348	sn-glycerol-3-phosphate dehydrogenase (anaerobic)%2C large subunit%2C FAD/NAD(P)-binding	b2241	glpA	sn-glycerol-3-phosphate dehydrogenase (anaerobic), large subunit, FAD/NAD(P)-binding (NCBI)	EG10391
BW25113_2242	CP009273.1	2347744	2349003	+	glpB	CDS	16349	sn-glycerol-3-phosphate dehydrogenase (anaerobic)%2C membrane anchor subunit	b2242	glpB	anaerobic glycerol-3-phosphate dehydrogenase subunit B (NCBI)	EG10392
BW25113_2243	CP009273.1	2349000	2350190	+	glpC	CDS	16350	anaerobic sn-glycerol-3-phosphate dehydrogenase%2C C subunit%2C 4Fe-4S iron-sulfur cluster	b2243	glpC	sn-glycerol-3-phosphate dehydrogenase (anaerobic), small subunit (NCBI)	EG10393
BW25113_2244	CP009273.1	2350383	2351282	+	yfaD	CDS	16351	transposase_31 family protein	b2244	rpnE	hypothetical protein (NCBI)	EG12323
BW25113_4543	CP009273.1	2351295	2351480	+	ypaA	CDS	1936717	uncharacterized protein	b4543	ypaA	predicted protein (NCBI)	G0-10561
BW25113_2245	CP009273.1	2351521	2352324	-	rhmA	CDS	16352	2-keto-3-deoxy-L-rhamnonate aldolase	b2245	yfaU	predicted 2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase (NCBI)	G7158
BW25113_2246	CP009273.1	2352342	2353631	-	rhmT	CDS	16353	putative L-rhamnonate transporter	b2246	yfaV	putative transport protein (VIMSS)	G7159
BW25113_2247	CP009273.1	2353688	2354893	-	rhmD	CDS	16354	L-rhamnonate dehydratase	b2247	rhmD	predicted enolase (RefSeq)	G7160
BW25113_2248	CP009273.1	2354908	2355690	-	rhmR	CDS	16355	putative DNA-binding transcriptional regulator for the rhm operon	b2248	yfaX	predicted DNA-binding transcriptional regulator (NCBI)	G7161
BW25113_2249	CP009273.1	2355910	2357112	-	yfaY	CDS	16356	inactive PncC family protein	b2249	yfaY	competence damage-inducible protein A (NCBI)	G7162
BW25113_2250	CP009273.1	2357212	2357754	-	yfaZ	CDS	16357	outer membrane protein%2C putative porin	b2250	yfaZ	orf, hypothetical protein (VIMSS)	G7163
BW25113_2251	CP009273.1	2358033	2358458	+	nudI	CDS	16358	nucleoside triphosphatase	b2251	nudI	predicted NUDIX hydrolase (NCBI)	G7164
BW25113_2252	CP009273.1	2358497	2359099	-	ais	CDS	16359	putative LPS core heptose(II)-phosphate phosphatase	b2252	ais	hypothetical protein (NCBI)	G7165
BW25113_2253	CP009273.1	2359407	2360546	+	arnB	CDS	16360	uridine 5'-(beta-1-threo-pentapyranosyl-4-ulose diphosphate) aminotransferase%2C PLP-dependent	b2253	arnB	uridine 5'-(beta-1-threo-pentapyranosyl-4-ulose diphosphate) aminotransferase, PLP-dependent (RefSeq)	G7166
BW25113_2254	CP009273.1	2360550	2361518	+	arnC	CDS	16361	undecaprenyl phosphate-L-Ara4FN transferase	b2254	arnC	undecaprenyl phosphate-L-Ara4FN transferase (NCBI)	G7167
BW25113_2255	CP009273.1	2361518	2363500	+	arnA	CDS	16362	fused UDP-L-Ara4N formyltransferase/UDP-GlcA C-4'-decarboxylase	b2255	arnA	hypothetical protein (NCBI)	G7168
BW25113_2256	CP009273.1	2363497	2364387	+	arnD	CDS	16363	undecaprenyl phosphate-alpha-L-ara4FN deformylase	b2256	arnD	hypothetical protein (NCBI)	G7169
BW25113_2257	CP009273.1	2364387	2366039	+	arnT	CDS	16364	4-amino-4-deoxy-L-arabinose transferase	b2257	arnT	4-amino-4-deoxy-L-arabinose transferase (NCBI)	G7170
BW25113_4544	CP009273.1	2366036	2366371	+	arnE	CDS	1936721	undecaprenyl phosphate-alpha-L-ara4N exporter%3B flippase ArnEF subunit	b4544	arnE	hypothetical protein (NCBI)	G0-10460
BW25113_2258	CP009273.1	2366371	2366757	+	arnF	CDS	16365	undecaprenyl phosphate-alpha-L-ara4N exporter%3B flippase ArnEF subunit	b2258	arnF	putative transport/receptor protein (VIMSS)	G7171
BW25113_2259	CP009273.1	2366751	2367017	-	pmrD	CDS	16366	inactive two-component system connector protein	b2259	pmrD	polymyxin resistance protein B (VIMSS)	G7172
BW25113_2260	CP009273.1	2367127	2368482	-	menE	CDS	16367	O-succinylbenzoate-CoA ligase	b2260	menE	O-succinylbenzoic acid--CoA ligase (NCBI)	EG12437
BW25113_2261	CP009273.1	2368479	2369441	-	menC	CDS	16368	O-succinylbenzoyl-CoA synthase	b2261	menC	O-succinylbenzoate synthase (NCBI)	EG11532
BW25113_2262	CP009273.1	2369441	2370298	-	menB	CDS	16369	dihydroxynaphthoic acid synthetase	b2262	menB	naphthoate synthase (NCBI)	EG11368
BW25113_2263	CP009273.1	2370313	2371071	-	menH	CDS	16370	2-succinyl-6-hydroxy-2%2C 4-cyclohexadiene-1-carboxylate synthase	b2263	menH	predicted peptidase (NCBI)	EG12438
BW25113_2264	CP009273.1	2371068	2372738	-	menD	CDS	16371	2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylate synthase%3B SEPHCHC synthase	b2264	menD	2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase (NCBI)	EG10579
BW25113_2265	CP009273.1	2372827	2374122	-	menF	CDS	16372	isochorismate synthase 2	b2265	menF	isochorismate hydroxymutase 2, menaquinone biosynthesis (VIMSS)	EG12362
BW25113_2266	CP009273.1	2374201	2374506	-	elaB	CDS	16373	DUF883 family protein%2C putative membrane-anchored ribosome-binding protein	b2266	elaB	hypothetical protein (NCBI)	G7173
BW25113_2267	CP009273.1	2374561	2375022	-	elaA	CDS	16374	putative acyl-CoA transferase	b2267	elaA	predicted acyltransferase with acyl-CoA N-acyltransferase domain (NCBI)	G7174
BW25113_2268	CP009273.1	2375087	2376004	+	rbn	CDS	16375	RNase BN%2C tRNA processing enzyme	b2268	rbn	orf, hypothetical protein (VIMSS)	G7175
BW25113_2269	CP009273.1	2376192	2377403	+	elaD	CDS	16376	protease%2C capable of cleaving an AMC-ubiquitin model substrate	b2269	elaD	predicted enzyme (NCBI)	G7176
BW25113_2270	CP009273.1	2377474	2379201	-	yfbK	CDS	16377	Von Willebrand factor domain putative lipoprotein	b2270	yfbK	hypothetical protein (NCBI)	G7177
BW25113_2271	CP009273.1	2379339	2380310	+	yfbL	CDS	16378	putative peptidase	b2271	yfbL	putative aminopeptidase (VIMSS)	G7178
BW25113_2272	CP009273.1	2380413	2380916	+	yfbM	CDS	16379	DUF1877 family protein	b2272	yfbM	hypothetical protein (NCBI)	G7179
BW25113_2273	CP009273.1	2381189	2381905	-	yfbN	CDS	16380	uncharacterized protein	b2273	yfbN	hypothetical protein (NCBI)	G7180
BW25113_2274	CP009273.1	2382114	2382536	+	yfbO	CDS	16381	uncharacterized protein	b2274	yfbO	predicted protein (RefSeq)	G7181
BW25113_2275	CP009273.1	2382595	2383443	+	yfbP	CDS	16382	TPR-like repeats-containing protein	b2275	yfbP	TPR-like repeats-containing protein (NCBI)	G7182
BW25113_2276	CP009273.1	2383527	2384984	-	nuoN	CDS	16383	NADH:ubiquinone oxidoreductase%2C membrane subunit N	b2276	nuoN	NADH:ubiquinone oxidoreductase, membrane subunit N (RefSeq)	EG12093
BW25113_2277	CP009273.1	2384991	2386520	-	nuoM	CDS	16384	NADH:ubiquinone oxidoreductase%2C membrane subunit M	b2277	nuoM	NADH dehydrogenase subunit M (NCBI)	EG11773
BW25113_2278	CP009273.1	2386684	2388525	-	nuoL	CDS	16385	NADH:ubiquinone oxidoreductase%2C membrane subunit L	b2278	nuoL	NADH dehydrogenase subunit L (NCBI)	EG12092
BW25113_2279	CP009273.1	2388522	2388824	-	nuoK	CDS	16386	NADH:ubiquinone oxidoreductase%2C membrane subunit K	b2279	nuoK	NADH dehydrogenase subunit K (NCBI)	EG12091
BW25113_2280	CP009273.1	2388821	2389375	-	nuoJ	CDS	16387	NADH:ubiquinone oxidoreductase%2C membrane subunit J	b2280	nuoJ	NADH dehydrogenase subunit J (NCBI)	EG12090
BW25113_2281	CP009273.1	2389387	2389929	-	nuoI	CDS	16388	NADH:ubiquinone oxidoreductase%2C chain I	b2281	nuoI	NADH dehydrogenase subunit I (NCBI)	EG12089
BW25113_2282	CP009273.1	2389944	2390921	-	nuoH	CDS	16389	NADH:ubiquinone oxidoreductase%2C membrane subunit H	b2282	nuoH	NADH dehydrogenase subunit H (NCBI)	EG12088
BW25113_2283	CP009273.1	2390918	2393644	-	nuoG	CDS	16390	NADH:ubiquinone oxidoreductase%2C chain G	b2283	nuoG	NADH:ubiquinone oxidoreductase, chain G (RefSeq)	EG12087
BW25113_2284	CP009273.1	2393697	2395034	-	nuoF	CDS	16391	NADH:ubiquinone oxidoreductase%2C chain F	b2284	nuoF	NADH:ubiquinone oxidoreductase, chain F (NCBI)	EG11774
BW25113_2285	CP009273.1	2395031	2395531	-	nuoE	CDS	16392	NADH:ubiquinone oxidoreductase%2C chain E	b2285	nuoE	NADH dehydrogenase subunit E (NCBI)	EG12086
BW25113_2286	CP009273.1	2395534	2397324	-	nuoC	CDS	16393	NADH:ubiquinone oxidoreductase%2C fused CD subunit	b2286	nuoC	NADH:ubiquinone oxidoreductase, chain C,D (RefSeq)	EG12084
BW25113_2287	CP009273.1	2397430	2398092	-	nuoB	CDS	16394	NADH:ubiquinone oxidoreductase%2C chain B	b2287	nuoB	NADH dehydrogenase subunit B (NCBI)	EG12083
BW25113_2288	CP009273.1	2398108	2398551	-	nuoA	CDS	16395	NADH:ubiquinone oxidoreductase%2C membrane subunit A	b2288	nuoA	NADH dehydrogenase I chain A (VIMSS)	EG12082
BW25113_2289	CP009273.1	2399182	2400120	-	lrhA	CDS	16396	transcriptional repressor of flagellar%2C motility and chemotaxis genes	b2289	lrhA	DNA-binding transcriptional repressor of flagellar, motility and chemotaxis genes (NCBI)	EG12123
BW25113_2290	CP009273.1	2401040	2402257	+	alaA	CDS	16397	valine-pyruvate aminotransferase 2	b2290	alaA	aspartate aminotransferase (NCBI)	G7184
BW25113_2291	CP009273.1	2402341	2402940	+	yfbR	CDS	16398	5'-nucleotidase	b2291	yfbR	hypothetical protein (NCBI)	G7185
BW25113_2292	CP009273.1	2402999	2404831	-	yfbS	CDS	16399	putative transporter	b2292	yfbS	predicted transporter (NCBI)	G7186
BW25113_2293	CP009273.1	2404918	2405568	-	yfbT	CDS	16400	sugar phosphatas	b2293	hxpA	putative phosphatase (VIMSS)	G7187
BW25113_2294	CP009273.1	2405579	2406073	-	yfbU	CDS	16401	UPF0304 family protein	b2294	yfbU	orf, hypothetical protein (VIMSS)	G7188
BW25113_2295	CP009273.1	2406156	2406611	-	yfbV	CDS	16402	UPF0208 family inner membrane protein	b2295	yfbV	hypothetical protein (NCBI)	G7189
BW25113_2296	CP009273.1	2406949	2408151	+	ackA	CDS	16403	acetate kinase A and propionate kinase 2	b2296	ackA	acetate kinase (NCBI)	EG10027
BW25113_2297	CP009273.1	2408226	2410370	+	pta	CDS	16404	phosphate acetyltransferase	b2297	pta	phosphate acetyltransferase (NCBI)	EG20173
BW25113_2298	CP009273.1	2410560	2412080	+	yfcC	CDS	16405	putative inner membrane transporter%2C C4-dicarboxylate anaerobic carrier family	b2298	yfcC	putative S-transferase (VIMSS)	G7190
BW25113_2299	CP009273.1	2412113	2412655	-	yfcD	CDS	16406	putative NUDIX hydrolase	b2299	yfcD	predicted NUDIX hydrolase (NCBI)	G7191
BW25113_2300	CP009273.1	2412713	2413267	-	yfcE	CDS	16407	phosphodiesterase activity on bis-pNPP	b2300	yfcE	orf, hypothetical protein (VIMSS)	G7192
BW25113_2301	CP009273.1	2413320	2413964	-	yfcF	CDS	16408	glutathione S-transferase	b2301	yfcF	predicted enzyme (NCBI)	G7193
BW25113_2302	CP009273.1	2414100	2414747	+	yfcG	CDS	16409	GSH-dependent disulfide bond oxidoreductase	b2302	yfcG	predicted glutathione S-transferase (NCBI)	G7194
BW25113_2303	CP009273.1	2414804	2415166	+	folX	CDS	16410	D-erythro-7%2C8-dihydroneopterin triphosphate 2'-epimerase and dihydroneopterin aldolase	b2303	folX	D-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase and dihydroneopterin aldolase (NCBI)	G7195
BW25113_2304	CP009273.1	2415187	2416080	+	yfcH	CDS	16411	putative NAD-dependent nucleotide-sugar epimerase	b2304	yfcH	conserved protein with NAD(P)-binding Rossmann-fold domain (NCBI)	G7196
BW25113_2305	CP009273.1	2416128	2417018	-	yfcI	CDS	16412	transposase_31 family protein	b2305	rpnB	hypothetical protein (NCBI)	G7197
BW25113_2306	CP009273.1	2417215	2417988	-	hisP	CDS	16413	histidine/lysine/arginine/ornithine transporter subunit	b2306	hisP	histidine/lysine/arginine/ornithine transporter subunit (NCBI)	EG10452
BW25113_2307	CP009273.1	2417996	2418712	-	hisM	CDS	16414	histidine/lysine/arginine/ornithine transporter subunit	b2307	hisM	histidine/lysine/arginine/ornithine transporter subunit (NCBI)	EG10007
BW25113_2308	CP009273.1	2418709	2419395	-	hisQ	CDS	16415	histidine/lysine/arginine/ornithine transporter permease subunit	b2308	hisQ	histidine/lysine/arginine/ornithine transporter subunit (NCBI)	EG12125
BW25113_2309	CP009273.1	2419485	2420267	-	hisJ	CDS	16416	histidine/lysine/arginine/ornithine transporter subunit	b2309	hisJ	histidine/lysine/arginine/ornithine transporter subunit (NCBI)	EG12124
BW25113_2310	CP009273.1	2420488	2421270	-	argT	CDS	16417	lysine/arginine/ornithine transporter subunit	b2310	argT	lysine/arginine/ornithine transporter subunit (NCBI)	EG10072
BW25113_2311	CP009273.1	2421536	2422105	-	ubiX	CDS	16418	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	b2311	ubiX	3-octaprenyl-4-hydroxybenzoate carboxy-lyase (NCBI)	EG11044
BW25113_2312	CP009273.1	2422200	2423717	-	purF	CDS	16419	amidophosphoribosyltransferase	b2312	purF	amidophosphoribosyltransferase (NCBI)	EG10794
BW25113_2313	CP009273.1	2423754	2424242	-	cvpA	CDS	16420	colicin V production membrane protein	b2313	cvpA	membrane protein required for colicin V production (NCBI)	EG10169
BW25113_2314	CP009273.1	2424501	2425163	-	dedD	CDS	16421	membrane-anchored periplasmic protein involved in septation	b2314	dedD	putative lipoprotein (VIMSS)	EG10218
BW25113_2315	CP009273.1	2425153	2426421	-	folC	CDS	16422	bifunctional folylpolyglutamate synthase/ dihydrofolate synthase	b2315	folC	bifunctional folylpolyglutamate synthase/ dihydrofolate synthase (NCBI)	EG10327
BW25113_2316	CP009273.1	2426491	2427405	-	accD	CDS	16423	acetyl-CoA carboxylase%2C beta (carboxyltransferase) subunit	b2316	accD	acetyl-CoA carboxylase subunit beta (NCBI)	EG10217
BW25113_2317	CP009273.1	2427561	2428220	-	dedA	CDS	16424	DedA family inner membrane protein	b2317	dedA	conserved inner membrane protein (NCBI)	EG10216
BW25113_2318	CP009273.1	2428303	2429115	-	truA	CDS	16425	tRNA pseudouridine(38-40) synthase	b2318	truA	tRNA pseudouridine synthase A (NCBI)	EG10454
BW25113_2319	CP009273.1	2429115	2430128	-	usg	CDS	16426	putative semialdehyde dehydrogenase	b2319	usg	hypothetical protein (NCBI)	EG11059
BW25113_2320	CP009273.1	2430194	2431330	-	pdxB	CDS	16427	erythronate-4-phosphate dehydrogenase	b2320	pdxB	erythronate-4-phosphate dehydrogenase (NCBI)	G0-9461
BW25113_2321	CP009273.1	2431429	2432424	+	flk	CDS	16428	putative flagella assembly protein	b2321	flk	predicted flagella assembly protein (NCBI)	EG10229
BW25113_2322	CP009273.1	2432421	2433599	-	yfcJ	CDS	16429	putative arabinose efflux transporter	b2322	yfcJ	predicted transporter (NCBI)	G7198
BW25113_2323	CP009273.1	2433864	2435084	-	fabB	CDS	16430	3-oxoacyl-[acyl-carrier-protein] synthase I	b2323	fabB	3-oxoacyl-(acyl carrier protein) synthase (NCBI)	EG10274
BW25113_2324	CP009273.1	2435243	2437249	+	mnmC	CDS	16431	fused 5-methylaminomethyl-2-thiouridine-forming enzyme methyltransferase and FAD-dependent demodification enzyme	b2324	mnmC	putative peptidase (VIMSS)	G7199
BW25113_2325	CP009273.1	2437370	2437648	-	yfcL	CDS	16432	uncharacterized protein	b2325	yfcL	hypothetical protein (NCBI)	G7200
BW25113_2326	CP009273.1	2437682	2438230	-	epmC	CDS	16433	Elongation Factor P Lys34 hydroxylase	b2326	epmC	hypothetical protein (NCBI)	G7201
BW25113_2327	CP009273.1	2438230	2439039	-	yfcA	CDS	16434	UPF0721 family inner membrane protein	b2327	yfcA	conserved inner membrane protein (NCBI)	EG11144
BW25113_2328	CP009273.1	2439039	2439863	-	mepA	CDS	16435	murein DD-endopeptidase	b2328	mepA	penicillin-insensitive murein endopeptidase (NCBI)	EG10580
BW25113_2329	CP009273.1	2439867	2440952	-	aroC	CDS	16436	chorismate synthase	b2329	aroC	chorismate synthase (NCBI)	EG10075
BW25113_2330	CP009273.1	2440987	2441919	-	prmB	CDS	16437	N5-glutamine methyltransferase	b2330	prmB	putative adenine-specific methylase (VIMSS)	EG12449
BW25113_2331	CP009273.1	2442085	2442636	+	smrB	CDS	16438	putative DNA endonuclease	b2331	smrB	hypothetical protein (NCBI)	G7202
BW25113_2332	CP009273.1	2442707	2443528	-	yfcO	CDS	16439	DUF2544 family putative outer membrane protein	b2332	yfcO	orf, hypothetical protein (VIMSS)	G7203
BW25113_2333	CP009273.1	2443530	2444069	-	yfcP	CDS	16440	putative fimbrial-like adhesin protein	b2333	yfcP	predicted fimbrial-like adhesin protein (NCBI)	G7204
BW25113_2334	CP009273.1	2444066	2444554	-	yfcQ	CDS	16441	putative fimbrial-like adhesin protein	b2334	yfcQ	predicted fimbrial-like adhesin protein (NCBI)	G7205
BW25113_2335	CP009273.1	2444551	2445063	-	yfcR	CDS	16442	putative fimbrial-like adhesin protein	b2335	yfcR	predicted fimbrial-like adhesin protein (NCBI)	G7206
BW25113_2336	CP009273.1	2445063	2445815	-	yfcS	CDS	16443	putative periplasmic pilin chaperone	b2336	yfcS	predicted periplasmic pilus chaperone (NCBI)	G7207
BW25113_4661	CP009273.1	2445835	2448480	-	yfcU	CDS				yfcU		
BW25113_2339	CP009273.1	2448562	2449125	-	yfcV	CDS	16445	putative fimbrial-like adhesin protein	b2339	yfcV	predicted fimbrial-like adhesin protein (NCBI)	G7210
BW25113_2340	CP009273.1	2449806	2450291	-	sixA	CDS	16446	phosphohistidine phosphatase	b2340	sixA	phosphohistidine phosphatase (NCBI)	G7211
BW25113_2341	CP009273.1	2450494	2452638	-	fadJ	CDS	16447	fused enoyl-CoA hydratase and epimerase and isomerase/3-hydroxyacyl-CoA dehydrogenase	b2341	fadJ	fused enoyl-CoA hydratase and epimerase and isomerase/3-hydroxyacyl-CoA dehydrogenase (NCBI)	G7212
BW25113_2342	CP009273.1	2452638	2453948	-	fadI	CDS	16448	beta-ketoacyl-CoA thiolase%2C anaerobic%2C subunit	b2342	fadI	acetyl-CoA acetyltransferase (NCBI)	G7213
BW25113_2343	CP009273.1	2454129	2454413	-	yfcZ	CDS	16449	UPF0381 family protein	b2343	yfcZ	orf, hypothetical protein (VIMSS)	G7214
BW25113_2344	CP009273.1	2454785	2456125	+	fadL	CDS	16450	long-chain fatty acid outer membrane transporter	b2344	fadL	long-chain fatty acid outer membrane transporter (RefSeq)	EG10280
BW25113_2345	CP009273.1	2456491	2457549	+	yfdF	CDS	16451	uncharacterized protein	b2345	yfdF	hypothetical protein (NCBI)	G7215
BW25113_2346	CP009273.1	2457731	2458486	-	mlaA	CDS	16452	ABC transporter maintaining OM lipid asymmetry%2C OM lipoprotein component	b2346	mlaA	predicted lipoprotein (NCBI)	G7216
BW25113_2347	CP009273.1	2458780	2459712	+	yfdC	CDS	16453	putative inner membrane protein	b2347	yfdC	predicted inner membrane protein (NCBI)	G7217
BW25113_2348	CP009273.1	2459788	2459862	+	argW	tRNA		tRNA-Arg		argW	tRNA-Arg	
BW25113_2349	CP009273.1	2460024	2461181	+	intS	CDS	16454	CPS-53 (KpLE1) prophage%3B putative prophage CPS-53 integrase	b2349	intS	CPS-53 (KpLE1) prophage; predicted prophage CPS-53 integrase (NCBI)	G7218
BW25113_2350	CP009273.1	2461334	2461696	+	gtrA	CDS	16455	CPS-53 (KpLE1) prophage%3B bactoprenol-linked glucose translocase (flippase)	b2350	yfdG	CPS-53 (KpLE1) prophage; bactoprenol-linked glucose translocase (flippase) (NCBI)	G7219
BW25113_2351	CP009273.1	2461693	2462613	+	gtrB	CDS	16456	CPS-53 (KpLE1) prophage%3B bactoprenol glucosyl transferase	b2351	yfdH	CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase (NCBI)	G7220
BW25113_2352	CP009273.1	2462610	2463941	+	gtrS	CDS	16457	serotype-specific glucosyl transferase%2C CPS-53 (KpLE1) prophage	b2352	yfdI	CPS-53 (KpLE1) prophage; predicted inner membrane protein (NCBI)	G7221
BW25113_2353	CP009273.1	2464294	2464584	+	tfaS	CDS				tfaS		
BW25113_2354	CP009273.1	2464556	2464996	-	yfdK	CDS	16459	CPS-53 (KpLE1) prophage%3B conserved protein	b2354	yfdK	CPS-53 (KpLE1) prophage; conserved protein (NCBI)	G7223
BW25113_2355	CP009273.1	2465023	2465601	-	yfdL	CDS				yfdL		
BW25113_2356	CP009273.1	2465597	2465866	-	yfdM	CDS				yfdM		
BW25113_2357	CP009273.1	2465866	2466360	-	yfdN	CDS	16462	CPS-53 (KpLE1) prophage%3B uncharacterized protein	b2357	yfdN	CPS-53 (KpLE1) prophage; predicted protein (NCBI)	G7226
BW25113_2358	CP009273.1	2466357	2467064	-	oweS	CDS				oweS		
BW25113_2359	CP009273.1	2467083	2467445	+	yfdP	CDS	16464	CPS-53 (KpLE1) prophage%3B uncharacterized protein	b2359	yfdP	CPS-53 (KpLE1) prophage; predicted protein (RefSeq)	G7228
BW25113_2360	CP009273.1	2467511	2468335	+	yfdQ	CDS	16465	CPS-53 (KpLE1) prophage%3B uncharacterized protein	b2360	yfdQ	CPS-53 (KpLE1) prophage; predicted protein (NCBI)	G7229
BW25113_2361	CP009273.1	2468463	2468999	+	yfdR	CDS	16466	CPS-53 (KpLE1) prophage%3B conserved protein	b2361	yfdR	orf, hypothetical protein (VIMSS)	G7230
BW25113_2362	CP009273.1	2468990	2469352	+	yfdS	CDS	16467	CPS-53 (KpLE1) prophage%3B uncharacterized protein	b2362	yfdS	CPS-53 (KpLE1) prophage; predicted protein (NCBI)	G7231
BW25113_2363	CP009273.1	2469352	2469657	+	yfdT	CDS	16468	CPS-53 (KpLE1) prophage%3B uncharacterized protein	b2363	yfdT	CPS-53 (KpLE1) prophage; predicted protein (NCBI)	G7232
BW25113_4545	CP009273.1	2469660	2469710	+	ypdJ	CDS				ypdJ		
BW25113_4501	CP009273.1	2469789	2469989	+	torI	CDS	1936746	response regulator inhibitor for tor operon	b4501	torI	response regulator inhibitor for tor operon (NCBI)	G0-9621
BW25113_4643	CP009273.1	2470063	2470077	+	pawZ	tRNA		tRNA-OTHER		pawZ	tRNA-OTHER	
BW25113_2364	CP009273.1	2470173	2471108	-	dsdC	CDS	16469	dsd operon activator%3B autorepressor	b2364	dsdC	DNA-binding transcriptional dual regulator (NCBI)	EG13161
BW25113_2365	CP009273.1	2471326	2472663	+	dsdX	CDS	16470	D-serine transporter	b2365	dsdX	predicted transporter (NCBI)	EG10250
BW25113_2366	CP009273.1	2472681	2474009	+	dsdA	CDS	16471	D-serine dehydratase	b2366	dsdA	D-serine dehydratase (NCBI)	EG10249
BW25113_2367	CP009273.1	2474117	2475655	-	emrY	CDS	16472	putative multidrug efflux system	b2367	emrY	predicted multidrug efflux system (NCBI)	EG13283
BW25113_2368	CP009273.1	2475655	2476818	-	emrK	CDS	16473	EmrKY-TolC multidrug resistance efflux pump%2C membrane fusion protein component	b2368	emrK	EmrKY-TolC multidrug resistance efflux pump, membrane fusion protein component (NCBI)	G7233
BW25113_2369	CP009273.1	2477234	2477848	+	evgA	CDS	16474	response regulator in two-component regulatory system with EvgS	b2369	evgA	DNA-binding response regulator in two-component regulatory system with EvgS (NCBI)	EG11609
BW25113_2370	CP009273.1	2477853	2481446	+	evgS	CDS	16475	hybrid sensory histidine kinase in two-component regulatory system with EvgA	b2370	evgS	hybrid sensory histidine kinase in two-component regulatory system with EvgA (NCBI)	EG11610
